"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"ALDOA.10",3.8441630094551e-17,-0.348392778232975,0.349,0.432,7.10747298818153e-13,"13","ALDOA"
"HSP90AA1.11",4.04120027397106e-17,-0.572078882324882,0.366,0.442,7.4717751865451e-13,"13","HSP90AA1"
"MIR155HG.10",4.86927380562676e-17,-0.294660155623292,0.108,0.211,9.00280033922331e-13,"13","MIR155HG"
"TOMM5.10",8.31432465057847e-17,-0.280826050672335,0.127,0.228,1.53723548464545e-12,"13","TOMM5"
"NDUFAB1.10",1.12716575914106e-16,-0.257400629359707,0.148,0.25,2.08401677207591e-12,"13","NDUFAB1"
"C1QBP.10",1.16676052482341e-16,-0.343492462502683,0.204,0.305,2.15722353434601e-12,"13","C1QBP"
"PA2G4.10",1.75115221400502e-16,-0.398589123714166,0.212,0.31,3.23770532847389e-12,"13","PA2G4"
"ARPC3.11",2.03917793126485e-16,-0.252262022356052,0.285,0.377,3.77023607711558e-12,"13","ARPC3"
"HNRNPA2B1.10",2.89949806657423e-16,-0.279341858951988,0.258,0.355,5.36088197528909e-12,"13","HNRNPA2B1"
"SET.10",2.95350384033921e-16,-0.390847277234403,0.261,0.357,5.46073325040317e-12,"13","SET"
"MINOS1.10",3.48078369043414e-16,-0.261472197755694,0.193,0.293,6.43562096524368e-12,"13","MINOS1"
"UQCR10.10",3.53045602683346e-16,-0.25296724641458,0.236,0.334,6.52746014801238e-12,"13","UQCR10"
"TPM3.10",4.34335567771354e-16,-0.265368308736368,0.24,0.337,8.03043031252456e-12,"13","TPM3"
"SUB1.10",7.6869982573365e-16,-0.36515136170323,0.291,0.377,1.42124910779895e-11,"13","SUB1"
"PGAM1.9",1.25489397020864e-15,-0.254188562741499,0.149,0.247,2.32017346151876e-11,"13","PGAM1"
"CD74.12",1.45709326357128e-15,-0.445340754408916,0.494,0.524,2.69401973501695e-11,"13","CD74"
"EIF4A1.10",4.80045203477338e-15,-0.400336299251053,0.371,0.441,8.8755557670925e-11,"13","EIF4A1"
"COX7B.10",6.28407871332316e-15,-0.304305082574927,0.263,0.349,1.16186331330632e-10,"13","COX7B"
"S100A11.10",6.61256970157075e-15,-0.322434704254662,0.261,0.352,1.22259801212342e-10,"13","S100A11"
"RAN.10",1.62104601105825e-14,-0.443538162768023,0.325,0.403,2.99715196984559e-10,"13","RAN"
"NDUFA4.10",1.74727804415204e-14,-0.342515295352349,0.351,0.417,3.23054237583271e-10,"13","NDUFA4"
"TIMP1.8",1.92171495416122e-14,-0.262142935511205,0.104,0.195,3.55305877874867e-10,"13","TIMP1"
"NDUFA13.10",2.26539247890535e-14,-0.292745287611722,0.282,0.361,4.1884841542481e-10,"13","NDUFA13"
"GAPDH.11",2.82727860751658e-14,-0.628496718488538,0.554,0.582,5.22735541743741e-10,"13","GAPDH"
"PARK7.10",3.48257244771669e-14,-0.259652718635376,0.231,0.32,6.43892819858338e-10,"13","PARK7"
"RBX1.10",3.70941215138874e-14,-0.271871203230727,0.257,0.341,6.85833212670263e-10,"13","RBX1"
"CCL4.12",5.34836977222195e-14,-0.712964976034461,0.269,0.36,9.88860087186117e-10,"13","CCL4"
"EIF5B.10",1.16206899349306e-13,-0.304180445932008,0.209,0.294,2.14854936206931e-09,"13","EIF5B"
"CCL3.11",2.20568935829326e-13,-0.758624708147209,0.311,0.393,4.07809905454841e-09,"13","CCL3"
"RBM8A.10",3.26095875389911e-13,-0.310667942905385,0.223,0.308,6.02918664008406e-09,"13","RBM8A"
"CCL2.11",4.23273433404893e-13,-0.528986878711289,0.148,0.239,7.82590251022306e-09,"13","CCL2"
"C14orf2.9",5.06211750428527e-13,-0.267207786483688,0.32,0.393,9.35934905367303e-09,"13","C14orf2"
"NHP2L1.10",6.2484892567251e-13,-0.28478478338811,0.207,0.291,1.1552831786759e-08,"13","NHP2L1"
"EIF2S2.10",8.94516798751486e-13,-0.329297252466372,0.238,0.317,1.65387210921162e-08,"13","EIF2S2"
"YBX1.11",1.29901481858028e-12,-0.511707254546294,0.428,0.47,2.40174849807308e-08,"13","YBX1"
"H2AFZ.10",1.50641950903644e-12,-0.282248866972427,0.222,0.307,2.78521903025748e-08,"13","H2AFZ"
"IFNG.11",1.53186461215862e-12,-0.651024423973958,0.243,0.332,2.83226448142007e-08,"13","IFNG"
"H3F3A.11",1.64942417604446e-12,-0.275017977276517,0.377,0.435,3.04962035908861e-08,"13","H3F3A"
"RPS18.11",1.6636873131395e-12,-0.325643637902754,0.984,0.872,3.07599147326362e-08,"13","RPS18"
"SOD2.9",2.13777326576247e-12,-0.405685287106937,0.176,0.261,3.95252899106823e-08,"13","SOD2"
"HNRNPC.9",2.3688258970608e-12,-0.253136199263953,0.23,0.31,4.37972220107572e-08,"13","HNRNPC"
"S100A6.11",2.45403819747941e-12,-0.409230162966003,0.401,0.453,4.53727122331968e-08,"13","S100A6"
